Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392782650";"0190392782650"),Sculpting Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392782759";"0190392782759"),Crop Sculpting Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392784937";"0190392784937"),Classic High-Rise Sculpting Skinny Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392785231";"0190392785231"),Core Slim Boyfriend Jeans,Skinny
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392785330";"0190392785330"),Slim Sculpting Straight Jeans,Skinny
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392791317";"0190392791317"),Core Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392839736";"0190392839736"),Maternity Slim Kick Flare Jeans,Straight
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392872030";"0190392872030"),Coated Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392872146";"0190392872146"),Coated Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392872252";"0190392872252"),Coated Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392963318";"0190392963318"),Mid-Rise Stretch Coated Straight Ankle,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392963318";"0190392963318"),Mid-Rise Stretch Coated Straight Ankle,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392993094";"0190392993094"),Kimmie Bootcut Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190392993094";"0190392993094"),Kimmie Bootcut Jeans,Wide
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190410366237";"0190410366237"),Le Crop High-Rise Mini Bootcut Leather Pants,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190410366237";"0190410366237"),Le Crop High-Rise Mini Bootcut Leather Pants,Straight
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190410366237";"0190410366237"),Le Crop High-Rise Mini Bootcut Leather Pants,Flare
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190410366237";"0190410366237"),Le Crop High-Rise Mini Bootcut Leather Pants,FullLength
